product_name,link,startech_rice,brand
Asrock B365 Pro4 9th Gen Motherboard,https://www.startech.com.bd/asrock-b365-pro4-motherboard,"9,700",Asrock
ASRock Fatal1ty X370 Gaming-ITX/ac AMD Motherboard,https://www.startech.com.bd/asrock-fatal1ty-x370-itx-ac-motherboard,"17,500",ASRock
ASRock Z390 Pro4 8th and 9th Gen Motherboard ,https://www.startech.com.bd/asrock-z390-pro4-motherboard,"12,000",ASRock
Asus PRIME B360M-K 8th Gen mATX Motherboard,https://www.startech.com.bd/asus-prime-b360m-k-matx-motherboard,"8,250",Asus
Gigabyte B360 HD3 8th Gen DDR4 Motherboard,https://www.startech.com.bd/gigabyte-b360-hd3-motherboard,"9,000",Gigabyte
Gigabyte X470 AORUS GAMING 5 WIFI Motherboard,https://www.startech.com.bd/gigabyte-x470-gaming-5-wifi-motherboard,"17,700",Gigabyte
Gigabyte X470 Aorus Ultra Gaming AM4 AMD Motherboard,https://www.startech.com.bd/gigabyte-x470-aorus-ultra-gaming-motherboard,"14,000",Gigabyte
Asus PRIME B360M-D 8th Gen mATX Motherboard,https://www.startech.com.bd/asus-prime-b360m-d-8th-gen-motherboard,"8,500",Asus
Gigabyte B360M AORUS GAMING 3 8th Gen Motherboard,https://www.startech.com.bd/gigabyte-b360m-aorus-gaming-3-motherboard,"9,500",Gigabyte
Asrock Fatal1ty X470 Gaming K4 AMD Motherboard,https://www.startech.com.bd/asrock-fatal1ty-x470-gaming-k4-motherboard,"18,200",Asrock
ASRock H110 Pro BTC+ DDR4 Motherboard,https://www.startech.com.bd/asrock-h110-pro-btc-plus-motherboard,"12,800",ASRock
Asus TUF B360M-E GAMING 8th Gen mATX Motherboard,https://www.startech.com.bd/asus-tuf-b360m-e-gaming-8th-gen-motherboard,"9,000",Asus
Gigabyte H370M DS3H 8th Gen Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-h370m-ds3h-8th-gen-motherboard,"9,900",Gigabyte
Asus TUF B360M-PLUS Gaming 8th Gen Motherboard,https://www.startech.com.bd/asus-tuf-B360m-plus-motherboard,"10,050",Asus
Gigabyte GA-Gaming B8 Motherboard,https://www.startech.com.bd/gigabyte-ga-gaming-b8,"10,000",Gigabyte
ASRock X470 Taichi ATX AM4 AMD Motherboard,https://www.startech.com.bd/asrock-x470-taichi-motherboard,"22,500",ASRock
Asus PRIME B360-PLUS 8th Gen ATX Motherboard,https://www.startech.com.bd/asus-prime-b360-plus-8th-gen-motherboard,"10,500",Asus
Gigabyte Z370M DS3H Ultra Durable 8th Gen DDR4 Motherboard,https://www.startech.com.bd/gigabyte-z370m-ds3h-motherboard,"10,900",Gigabyte
Asus ROG STRIX B360-G Gaming 8th Gen Motherboard,https://www.startech.com.bd/asus-rog-strix-b360-g-motherboard,"10,600",Asus
Gigabyte H370 HD3 8th Gen Ultra Durable Motherboard,https://www.startech.com.bd/gigabyte-h370-hd3-8th-gen-motherboard,"11,400",Gigabyte
Asrock Fatal1ty X99M Killer/3.1 Motherboard,https://www.startech.com.bd/asrock-fatal1ty-x99m-killer-3.1-motherboard,"17,300",Asrock
Asrock X399 Phantom Gaming 6 AMD Motherboard,https://www.startech.com.bd/asrock-x399-phantom-gaming-6-motherboard,"28,300",Asrock
Asus PRIME H370-PLUS 8th Gen ATX Motherboard,https://www.startech.com.bd/asus-prime-h370-plus-8th-gen-motherboard,"11,500",Asus
